Time	Iv
0.001025	0.239413
0.001026	0.240336
0.001027	0.24126
0.001028	0.242184
0.001029	0.243108
0.00103	0.244033
0.001031	0.244959
0.001032	0.245885
0.001033	0.246812
0.001034	0.247739
0.001035	0.248667
0.001036	0.249595
0.001037	0.250524
0.001039	0.250461
0.00104	0.250399
0.001041	0.250336
0.001042	0.250273
0.001043	0.250211
0.001044	0.250148
0.001045	0.250086
0.001046	0.250023
0.001047	0.249961
0.001048	0.249898
0.001049	0.249836
0.00105	0.249774
0.001051	0.249711
0.001052	0.249649
0.001053	0.249586
0.001054	0.249524
0.001055	0.249462
0.001056	0.249399
0.001057	0.249337
0.001058	0.249275
0.001059	0.249212
0.00106	0.24915
0.001061	0.249088
0.001062	0.249025
0.001063	0.248963
0.001064	0.248901
0.001065	0.248839
0.001066	0.248777
0.001067	0.248714
0.001068	0.248652
0.001069	0.24859
0.00107	0.248528
0.001071	0.248466
0.001072	0.248404
0.001073	0.248342
0.001074	0.24828
0.001075	0.248217
0.001076	0.248155
0.001077	0.248093
0.001078	0.248031
0.001079	0.247969
0.00108	0.247907
0.001081	0.247845
0.001082	0.247784
0.001083	0.247722
0.001084	0.24766
0.001085	0.247598
0.001086	0.247536
0.001087	0.247474
0.001088	0.247412
0.001089	0.24735
0.001091	0.248333
0.001092	0.249316
0.001093	0.2503
0.001094	0.251285
0.001095	0.252269
0.001096	0.253255
0.001097	0.254241
0.001098	0.255227
0.001099	0.256214
0.0011	0.257201
0.001101	0.258189
0.001102	0.259177
0.001103	0.260166
0.001104	0.261155
0.001105	0.262145
0.001106	0.263135
0.001107	0.264126
0.001108	0.265117
0.001109	0.266109
0.00111	0.267101
0.001111	0.268094
0.001112	0.269087
0.001113	0.270081
0.001114	0.271075
0.001115	0.272069
0.001116	0.273065
0.001117	0.27406
0.001118	0.275056
0.001119	0.276053
0.00112	0.27705
0.001121	0.278047
0.001122	0.279045
0.001123	0.280044
0.001124	0.281042
0.001125	0.282042
0.001126	0.283042
0.001127	0.284042
0.001128	0.285043
0.001129	0.286044
0.00113	0.287045
0.001131	0.288048
0.001132	0.28905
0.001133	0.290053
0.001134	0.291057
0.001135	0.292061
0.001136	0.293065
0.001137	0.29407
0.001138	0.295075
0.001139	0.296081
0.00114	0.297087
0.001141	0.298094
0.001143	0.29802
0.001144	0.297945
0.001145	0.297871
0.001146	0.297796
0.001147	0.297722
0.001148	0.297647
0.001149	0.297573
0.00115	0.297499
0.001151	0.297424
0.001152	0.29735
0.001153	0.297276
0.001154	0.297201
0.001155	0.297127
0.001156	0.297053
0.001157	0.296978
0.001158	0.296904
0.001159	0.29683
0.00116	0.296756
0.001161	0.296682
0.001162	0.296608
0.001163	0.296533
0.001164	0.296459
0.001165	0.296385
0.001166	0.296311
0.001167	0.296237
0.001168	0.296163
0.001169	0.296089
0.00117	0.296015
0.001171	0.295941
0.001172	0.295867
0.001173	0.295793
0.001174	0.295719
0.001175	0.295645
0.001176	0.295571
0.001177	0.295497
0.001178	0.295424
0.001179	0.29535
0.00118	0.295276
0.001181	0.295202
0.001182	0.295128
0.001183	0.295055
0.001184	0.294981
0.001185	0.294907
0.001186	0.294833
0.001187	0.29476
0.001188	0.294686
0.001189	0.294612
0.00119	0.294539
0.001191	0.294465
0.001192	0.294392
0.001193	0.294318
0.001195	0.295379
0.001196	0.29644
0.001197	0.297502
0.001198	0.298564
0.001199	0.299626
0.0012	0.300689
0.001201	0.301753
0.001202	0.302816
0.001203	0.303881
0.001204	0.304945
0.001205	0.30601
0.001206	0.307076
0.001207	0.308142
0.001208	0.309208
0.001209	0.310275
0.00121	0.311342
0.001211	0.31241
0.001212	0.313478
0.001213	0.314546
0.001214	0.315615
0.001215	0.316685
0.001216	0.317754
0.001217	0.318825
0.001218	0.319895
0.001219	0.320966
0.00122	0.322037
0.001221	0.323109
0.001222	0.324181
0.001223	0.325254
0.001224	0.326327
0.001225	0.3274
0.001226	0.328474
0.001227	0.329548
0.001228	0.330623
0.001229	0.331698
0.00123	0.332774
0.001231	0.333849
0.001232	0.334926
0.001233	0.336002
0.001234	0.337079
0.001235	0.338157
0.001236	0.339234
0.001237	0.340312
0.001238	0.341391
0.001239	0.34247
0.00124	0.343549
0.001241	0.344629
0.001242	0.345709
0.001243	0.34679
0.001244	0.34787
0.001245	0.348952
0.001247	0.348865
0.001248	0.348777
0.001249	0.34869
0.00125	0.348603
0.001251	0.348516
0.001252	0.348429
0.001253	0.348342
0.001254	0.348255
0.001255	0.348168
0.001256	0.348081
0.001257	0.347994
0.001258	0.347907
0.001259	0.34782
0.00126	0.347733
0.001261	0.347646
0.001262	0.347559
0.001263	0.347472
0.001264	0.347385
0.001265	0.347298
0.001266	0.347212
0.001267	0.347125
0.001268	0.347038
0.001269	0.346951
0.00127	0.346865
0.001271	0.346778
0.001272	0.346691
0.001273	0.346605
0.001274	0.346518
0.001275	0.346431
0.001276	0.346345
0.001277	0.346258
0.001278	0.346172
0.001279	0.346085
0.00128	0.345999
0.001281	0.345912
0.001282	0.345826
0.001283	0.345739
0.001284	0.345653
0.001285	0.345566
0.001286	0.34548
0.001287	0.345394
0.001288	0.345307
0.001289	0.345221
0.00129	0.345135
0.001291	0.345048
0.001292	0.344962
0.001293	0.344876
0.001294	0.34479
0.001295	0.344704
0.001296	0.344618
0.001297	0.344531
0.001299	0.345667
0.0013	0.346802
0.001301	0.347939
0.001302	0.349075
0.001303	0.350212
0.001304	0.351349
0.001305	0.352487
0.001306	0.353625
0.001307	0.354763
0.001308	0.355902
0.001309	0.357041
0.00131	0.35818
0.001311	0.35932
0.001312	0.36046
0.001313	0.3616
0.001314	0.362741
0.001315	0.363882
0.001316	0.365024
0.001317	0.366165
0.001318	0.367308
0.001319	0.36845
0.00132	0.369593
0.001321	0.370736
0.001322	0.37188
0.001323	0.373024
0.001324	0.374168
0.001325	0.375313
0.001326	0.376457
0.001327	0.377603
0.001328	0.378748
0.001329	0.379894
0.00133	0.38104
0.001331	0.382187
0.001332	0.383334
0.001333	0.384481
0.001334	0.385629
0.001335	0.386777
0.001336	0.387925
0.001337	0.389073
0.001338	0.390222
0.001339	0.391371
